Date,Time,Merchant,Amount,Status,Transaction ID,UPI ID,Note,Description,Source File,Category,Classification,Credit,Debit
16-03-2025,13:01:21,Google Play,3942.45,Success,a6e4f3db-297b-4d11-8c93-5f79879a0173,abigailwalker@okaxis,Payment to Google Play,Google Play,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,3942.45
31-07-2025,22:36:31,Amazon,1948.71,Success,93595139-e863-48b6-97f4-0bdcf359f6a4,cstevens@okaxis,Payment to Amazon,Amazon,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,1948.71
12-03-2025,12:02:47,Zomato,207.94,Success,1bc7627a-47f4-4176-befa-663ac26eb85d,herringanthony@okaxis,Payment to Zomato,Zomato,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,207.94
10-07-2025,16:14:20,Spotify,386.42,Success,8fdf465c-2ace-43fb-9925-e80db4bf48dc,simontodd@okaxis,Payment to Spotify,Spotify,Fake_GooglePay_Transaction_History.pdf,Subscriptions,Want,0.0,386.42
07-07-2025,06:49:50,YouTube Premium,3011.68,Success,4014cd27-9440-43fa-8c91-bf92b265a838,tgibson@okaxis,Payment to YouTube Premium,YouTube Premium,Fake_GooglePay_Transaction_History.pdf,Subscriptions,Want,0.0,3011.68
06-04-2025,17:29:50,Reliance Fresh,204.6,Success,aac08b47-e071-49c0-a0fd-6b5c618d41a2,bradley24@okaxis,Payment to Reliance Fresh,Reliance Fresh,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,204.6
04-06-2025,14:03:59,Local Kirana,733.11,Success,a4b40391-db0a-4f7c-878b-c403ce95e1ec,erivers@okaxis,Payment to Local Kirana,Local Kirana,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,733.11
27-03-2025,00:50:08,McDonald's,1245.31,Success,e8457dfe-3e8b-4bb0-9469-df657bfb9d81,judy96@okaxis,Payment to McDonald's,McDonald's,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,1245.31
21-04-2025,09:32:30,YouTube Premium,3004.1,Success,0d79ce00-c3ea-4c3e-85c1-a0a075647f3a,cindywoodward@okaxis,Payment to YouTube Premium,YouTube Premium,Fake_GooglePay_Transaction_History.pdf,Subscriptions,Want,0.0,3004.1
07-05-2025,22:03:49,Netflix,4271.78,Success,27903dbe-310a-4224-9cbb-e44ff6ac696a,shahsean@okaxis,Payment to Netflix,Netflix,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,4271.78
15-02-2025,12:05:25,Swiggy,219.37,Success,281f960f-80e4-4661-99c3-d3b54757324f,lisa63@okaxis,Payment to Swiggy,Swiggy,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,219.37
08-06-2025,08:08:43,Reliance Fresh,407.01,Success,ec253f3a-0699-4949-a218-c27277e45d79,jbrown@okaxis,Payment to Reliance Fresh,Reliance Fresh,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,407.01
24-03-2025,15:57:48,Domino's,1359.5,Success,fd2b12af-4f2d-49ba-b724-b23217365a50,cwatkins@okaxis,Payment to Domino's,Domino's,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,1359.5
01-06-2025,17:04:27,Movie Tickets,4363.72,Success,d8b10ab3-54c9-42e5-8430-96ac3b5c08ca,andrewbutler@okaxis,Payment to Movie Tickets,Movie Tickets,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,4363.72
25-03-2025,12:36:00,Phone Recharge,335.76,Success,af5202d6-b92a-4098-acd8-358a5de1c2df,johnsontravis@okaxis,Payment to Phone Recharge,Phone Recharge,Fake_GooglePay_Transaction_History.pdf,Utilities,Need,0.0,335.76
23-03-2025,06:39:21,Local Kirana,4296.8,Success,2972f8ba-9051-4922-80ae-3a377235fa04,anthonywright@okaxis,Payment to Local Kirana,Local Kirana,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,4296.8
06-05-2025,05:31:05,Myntra,2489.89,Success,7d055259-7441-4795-91cd-f044cc43e8fc,thomasmartinez@okaxis,Payment to Myntra,Myntra,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,2489.89
24-07-2025,12:42:17,Ola,4407.89,Success,04bbf31e-616f-490c-9cf5-852213e73465,stephanie90@okaxis,Payment to Ola,Ola,Fake_GooglePay_Transaction_History.pdf,Transport,Need,0.0,4407.89
05-07-2025,02:33:58,Netflix,3037.35,Success,0c904939-e8b3-4b64-8faa-33ed44fc36ce,gabrielpierce@okaxis,Payment to Netflix,Netflix,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,3037.35
27-04-2025,06:36:06,Petrol Pump,949.19,Success,1d1c6448-ff99-4575-973c-b9509f94c729,nli@okaxis,Payment to Petrol Pump,Petrol Pump,Fake_GooglePay_Transaction_History.pdf,Transport,Need,0.0,949.19
18-05-2025,07:31:05,Flipkart,1800.97,Success,f0d6fc82-a24c-43b7-8294-39aca72a5cc0,breanna39@okaxis,Payment to Flipkart,Flipkart,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,1800.97
13-03-2025,16:07:43,Ola,800.65,Success,0778d722-9265-470a-ab6a-03a5cc1104a1,alan78@okaxis,Payment to Ola,Ola,Fake_GooglePay_Transaction_History.pdf,Transport,Need,0.0,800.65
12-04-2025,06:08:39,Phone Recharge,1430.49,Success,19d48249-5ca1-4f94-abb0-d3f8b5dfd88b,smithdanny@okaxis,Payment to Phone Recharge,Phone Recharge,Fake_GooglePay_Transaction_History.pdf,Utilities,Need,0.0,1430.49
